,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+_CCR7+_4
LRRC37B,188,111,204,62,46,97,21,323
RHOT1,383,450,561,254,251,173,111,761
RHBDL3,5,0,1,3,8,16,4,31
C17orf75,18,35,41,17,18,27,13,122
ZNF207,1699,2456,2466,1661,1841,1779,1194,4836
PSMD11,371,475,375,306,328,362,277,880
CDK5R1,13,23,15,6,11,26,9,150
MYO1D,106,173,172,179,51,40,40,186
TMEM98,4,0,0,0,0,5,1,12
ASIC2,0,0,0,0,0,0,0,0
CCL2,23,18,0,10,2,13,29,34
CCL7,0,0,0,0,0,0,2,10
CCL11,0,0,0,0,0,0,0,0
CCL8,2,0,0,0,0,0,0,0
CCL1,0,0,0,0,0,0,0,0
TMEM132E,0,0,3,0,0,0,0,0
CCT6B,41,56,74,9,12,18,2,122
ZNF830,340,464,372,218,286,253,152,1113
LIG3,359,551,484,329,414,371,252,1348
RFFL,102,155,213,112,153,207,142,547
RAD51D,105,95,89,58,48,40,37,197
FNDC8,0,0,0,0,0,0,0,0
NLE1,25,25,26,2,7,8,4,45
UNC45B,0,0,0,0,6,2,3,6
SLC35G3,0,0,0,0,0,0,0,0
SLFN5,272,243,244,183,630,403,185,1801
SLFN11,574,784,695,383,209,225,178,1050
SLFN12,124,155,311,120,72,53,25,258
SLFN13,153,143,179,79,143,71,67,351
SLFN12L,35,12,26,10,13,17,8,145
SLFN14,0,0,0,0,0,0,4,15
PEX12,6,4,6,13,7,4,0,9
AP2B1,563,531,596,356,452,402,244,1441
TAF15,7795,10205,7744,6140,5325,4838,4271,16356
RASL10B,0,0,0,0,2,0,0,0
MMP28,0,0,0,0,0,0,0,0
C17orf50,0,0,0,0,0,0,0,2
HEATR9,12,0,9,2,0,0,8,161
CCL5,31,25,33,8,90,12,65,343
RDM1,0,0,0,0,4,0,0,2
LYZL6,0,0,0,0,0,0,0,0
CCL16,0,4,4,10,0,2,0,3
CCL14,0,4,17,16,189,129,11,49
CCL15-CCL14,0,4,15,16,169,117,10,44
CCL15,0,0,0,0,0,0,0,0
CCL23,0,2,12,10,0,4,28,0
CCL18,0,6,0,0,0,0,0,0
CCL3,672,571,619,423,132,159,182,426
CCL4,210,195,115,78,79,170,199,515
TBC1D3B,5,12,17,4,5,11,5,22
CCL3L3,690,495,619,333,122,150,134,584
CCL4L2,299,265,330,171,151,180,80,437
TBC1D3I,9,24,22,9,29,11,12,81
TBC1D3G,28,63,45,31,32,20,32,101
TBC1D3H,119,149,164,143,181,127,87,262
TBC1D3F,25,47,34,23,14,16,23,49
ZNHIT3,97,133,125,116,147,54,57,235
MYO19,204,249,271,197,181,204,97,651
PIGW,27,47,47,43,11,14,6,39
GGNBP2,2561,4046,4052,2514,3759,3005,1781,10052
DHRS11,16,19,23,13,26,19,12,37
MRM1,0,20,15,12,0,9,7,38
LHX1,10,0,0,0,0,0,0,2
AATF,3564,5209,4120,3658,4030,3568,2768,10697
ACACA,191,205,241,145,200,181,167,654
C17orf78,0,1,0,1,0,1,0,0
TADA2A,330,288,286,200,180,208,124,558
DUSP14,8,7,3,5,3,3,8,17
SYNRG,530,666,855,415,572,509,300,2314
DDX52,512,712,753,525,375,347,187,1100
HNF1B,0,0,2,0,13,5,4,22
TBC1D3K,17,21,18,8,20,16,14,37
TBC1D3L,198,230,230,183,160,184,128,365
TBC1D3D,89,70,55,59,56,54,67,137
TBC1D3C,29,41,49,25,32,39,19,84
TBC1D3E,9,11,9,1,7,7,7,21
TBC1D3,160,122,158,104,127,151,96,302
MRPL45,218,349,351,195,263,163,133,540
GPR179,0,0,6,4,3,3,0,0
SOCS7,170,199,203,86,101,121,53,434
ARHGAP23,19,10,15,7,96,85,15,253
SRCIN1,20,1,13,19,31,47,0,53
MLLT6,1164,1358,1680,1299,4088,3575,1971,9046
CISD3,46,81,53,92,36,37,37,93
PCGF2,19,12,13,47,20,27,11,23
PSMB3,217,318,227,204,162,153,137,446
PIP4K2B,203,322,332,239,320,239,174,631
CWC25,2350,2993,2674,2098,1940,2320,1835,6800
C17orf98,0,0,0,0,0,0,0,0
RPL23,12384,18062,12025,11878,11886,8608,10114,27225
LASP1,2110,2632,2752,1720,2607,2732,1644,7920
LINC00672,19,23,11,24,27,13,13,72
PLXDC1,2,0,0,0,13,29,6,102
ARL5C,5,3,3,0,0,2,1,0
CACNB1,87,97,70,69,73,103,90,245
RPL19,31268,45478,27933,30173,25772,17697,23733,59345
STAC2,0,0,0,0,0,0,0,0
FBXL20,97,155,295,182,288,291,110,454
MED1,612,1004,1182,586,703,666,394,2534
CDK12,1198,1424,1567,1008,1013,991,747,3825
NEUROD2,0,0,0,0,0,0,4,0
PPP1R1B,34,0,0,10,40,0,0,30
STARD3,452,678,657,265,270,154,100,798
TCAP,11,37,31,1,10,0,4,59
PNMT,0,2,1,0,0,9,0,14
PGAP3,18,79,64,36,38,7,17,71
ERBB2,232,329,234,204,291,199,231,637
MIEN1,211,327,209,215,248,180,226,568
GRB7,0,0,0,0,2,0,0,0
IKZF3,0,0,15,10,135,93,32,68
ZPBP2,0,0,2,0,0,0,0,2
GSDMB,213,257,282,279,580,596,328,1082
ORMDL3,124,143,124,106,400,340,235,805
GSDMA,0,0,0,0,0,0,0,0
PSMD3,1110,1726,1322,1305,1235,935,768,3057
CSF3,10,4,0,6,6,11,0,22
MED24,391,508,463,307,269,291,234,849
THRA,225,186,91,142,148,81,280,528
NR1D1,170,121,101,86,41,54,111,194
MSL1,1376,1648,1721,1181,1246,1211,695,3436
CASC3,2601,3414,3492,2567,2915,2854,1788,8791
RAPGEFL1,7,16,15,5,17,18,7,45
WIPF2,466,523,533,425,553,471,311,1464
CDC6,54,19,29,36,24,40,18,106
RARA,1065,1547,1187,721,315,117,178,1174
GJD3,87,65,60,60,37,18,33,122
TOP2A,127,79,55,37,68,97,113,350
IGFBP4,92,61,62,60,129,183,38,633
TNS4,29,0,0,0,3,0,0,12
CCR7,731,177,460,546,3192,8969,4900,5375
SMARCE1,5010,5260,5133,4934,6806,6174,4155,14807
KRT222,0,0,12,0,0,6,8,2
KRT24,0,0,0,0,0,0,0,0
KRT25,0,0,0,0,0,0,0,0
KRT26,0,0,0,0,0,0,0,0
KRT27,0,0,0,0,0,0,0,0
KRT10,50,102,67,70,68,60,36,145
KRT20,0,0,0,0,4,0,0,0
KRT23,0,2,0,0,2,0,0,57
KRTAP2-1,0,0,0,0,0,2,0,0
KRTAP4-12,0,0,0,0,0,0,0,0
KRTAP16-1,0,0,4,0,0,0,2,8
KRT34,0,0,0,0,0,0,0,0
KRT36,4,0,0,0,0,0,0,4
KRT13,3,2,0,4,0,2,0,0
KRT15,0,0,0,2,0,0,0,4
KRT19,10,4,0,8,9,10,0,18
KRT14,0,0,0,0,0,0,1,4
KRT16,2,0,0,0,9,0,0,0
KRT17,14,12,0,14,8,0,0,56
EIF1,6026,7269,6861,4880,5640,5436,4424,15730
GAST,30,0,0,0,26,0,0,0
HAP1,0,0,0,0,8,0,0,4
JUP,80,73,88,80,146,107,84,182
P3H4,3,2,5,0,4,10,0,12
FKBP10,13,18,5,9,14,12,5,39
NT5C3B,183,315,233,169,183,102,106,541
KLHL10,0,7,3,1,0,0,3,3
KLHL11,35,52,85,30,49,21,14,213
ACLY,735,775,852,578,722,685,473,2084
CNP,178,284,210,214,256,271,177,764
DNAJC7,3828,4533,4039,3020,3086,3036,1993,8801
NKIRAS2,984,916,853,734,560,652,468,1581
ZNF385C,2,6,8,0,77,87,15,107
DHX58,131,207,221,187,650,636,418,856
KAT2A,369,474,434,285,119,158,108,533
HSPB9,0,4,0,0,3,0,4,9
RAB5C,3161,4191,3223,2913,2195,1679,1802,5982
KCNH4,12,1,14,0,1,22,11,56
HCRT,6,0,0,0,0,0,0,0
GHDC,71,91,71,37,13,26,18,98
STAT5B,525,736,784,489,931,481,454,1980
STAT5A,1860,3079,2732,2075,5915,2497,3018,10301
STAT3,2218,2755,3138,2258,2915,2355,1716,6565
ATP6V0A1,513,674,822,385,115,91,77,534
NAGLU,95,42,62,31,11,40,7,109
HSD17B1,82,82,75,63,68,60,44,153
COASY,490,692,620,546,423,326,211,1096
MLX,1557,1736,1798,1408,980,891,518,2385
PSMC3IP,108,140,102,185,315,405,217,439
TUBG1,174,276,151,160,157,248,205,504
TUBG2,50,83,86,72,69,114,59,252
PLEKHH3,13,13,0,13,10,26,15,70
CCR10,8,9,4,11,29,66,28,102
CNTNAP1,30,33,20,37,78,114,81,292
EZH1,478,563,646,526,930,938,645,1832
RAMP2,0,0,0,0,8,6,2,12
VPS25,93,108,71,63,39,50,47,172
WNK4,0,3,4,0,6,3,4,32
COA3,56,31,26,33,13,22,13,43
CNTD1,148,236,230,150,158,140,92,427
BECN1,1343,1983,1668,1298,1349,1134,959,3574
PSME3,704,968,889,735,689,539,443,1857
AOC2,2,5,3,13,8,13,10,6
AOC3,12,27,12,25,2,0,1,6
AARSD1,303,402,305,231,126,163,136,593
PTGES3L-AARSD1,307,397,287,232,122,158,135,579
PTGES3L,9,3,1,5,6,3,0,15
RUNDC1,214,293,283,176,100,162,81,519
RPL27,12963,18299,11387,12007,12264,8513,11091,26974
IFI35,208,280,218,192,131,88,82,304
VAT1,47,40,47,51,55,57,12,99
RND2,0,6,0,7,2,0,0,4
BRCA1,57,54,51,57,45,16,37,137
NBR1,985,1552,1544,849,633,535,298,2205
TMEM106A,205,258,204,202,121,73,68,280
ARL4D,13,23,14,21,8,7,10,35
DHX8,853,1257,1169,651,650,630,383,2845
ETV4,3,1,1,2,1,1,6,10
MEOX1,0,0,122,0,0,78,138,0
SOST,0,0,0,0,0,0,0,0
DUSP3,667,883,817,539,515,387,291,1462
MPP3,118,132,137,209,124,77,76,190
CD300LG,8,8,2,11,0,0,4,3
MPP2,0,0,0,2,4,5,0,13
PPY,0,0,0,0,0,0,0,0
PYY,0,0,0,0,0,0,0,8
NAGS,36,6,11,0,6,4,10,0
TMEM101,162,207,214,149,189,154,86,356
LSM12,259,277,271,212,189,178,126,622
G6PC3,133,172,100,146,36,51,42,170
HDAC5,773,773,914,749,623,553,304,1593
ASB16,30,13,18,22,23,28,23,47
TMUB2,142,261,272,185,240,199,132,535
ATXN7L3,726,1068,945,674,780,749,582,2324
UBTF,2155,2476,2369,1907,2980,3093,2105,8196
SLC4A1,7,3,0,0,0,0,0,0
RUNDC3A,13,11,14,0,4,9,0,31
SLC25A39,310,354,356,282,339,309,227,944
GRN,2660,3688,3047,2258,1484,1062,947,3732
FAM171A2,0,8,3,0,2,0,0,13
ITGA2B,7,3,6,1,0,0,2,11
GPATCH8,1638,2349,2593,1761,1736,1806,1143,5762
FZD2,68,58,71,67,11,14,10,47
MEIOC,237,261,249,144,104,116,70,449
CCDC43,371,430,380,236,178,180,113,759
DBF4B,61,106,103,95,135,94,45,257
ADAM11,0,5,4,11,4,8,0,9
GJC1,2,0,0,0,8,10,0,16
HIGD1B,0,0,0,1,0,0,4,8
EFTUD2,979,1465,1362,1024,1755,1397,1162,3797
CCDC103,228,267,244,221,388,293,271,871
FAM187A,6,3,3,11,12,21,16,20
GFAP,0,0,0,5,9,10,8,7
KIF18B,0,5,0,4,11,9,7,14
DCAKD,79,63,80,53,133,93,70,201
NMT1,531,784,744,431,725,732,411,1984
PLCD3,11,12,15,3,30,22,12,75
ACBD4,61,44,42,30,29,15,18,68
HEXIM1,1765,2113,2190,1257,1858,2332,1593,7232
HEXIM2,6,51,24,34,42,8,20,30
FMNL1,5254,7539,6271,5011,6694,6047,6114,18299
SPATA32,5,6,9,6,24,15,12,70
MAP3K14,1257,1356,1563,1124,5230,5693,4367,17604
ARHGAP27,2055,3700,2882,2038,1256,1027,869,4160
PLEKHM1,535,1042,1069,554,347,268,160,1229
CRHR1,0,1,8,10,9,5,7,11
MAPT,4,4,0,0,0,3,0,12
KANSL1,480,611,769,450,497,514,291,1746
ARL17B,150,223,199,178,274,294,267,796
LRRC37A,352,419,399,322,313,487,381,1100
LRRC37A2,411,444,450,358,288,395,315,922
ARL17A,223,233,249,258,238,368,315,896
NSF,710,763,1009,682,1005,753,480,2007
WNT3,0,0,2,0,0,5,1,9
WNT9B,0,0,0,0,2,2,3,0
GOSR2,150,256,211,157,198,144,83,479
CDC27,224,266,325,171,189,204,76,626
MYL4,4,1,0,4,0,3,0,0
ITGB3,40,12,4,59,44,35,3,31
EFCAB13,12,18,19,17,7,17,9,33
NPEPPS,719,802,937,585,743,748,472,2153
KPNB1,2854,3162,3803,2747,4806,5432,3160,10964
TBKBP1,187,189,138,147,59,83,50,275
TBX21,9,5,11,11,25,86,39,154
OSBPL7,122,179,162,63,94,46,28,383
MRPL10,108,126,93,99,71,42,25,205
LRRC46,16,8,9,2,0,3,2,17
SCRN2,70,134,95,78,36,28,34,158
SP6,0,2,3,0,13,5,0,15
SP2,386,543,557,339,450,335,234,1037
PNPO,32,56,46,33,20,11,12,53
PRR15L,2,2,0,8,4,0,0,9
CDK5RAP3,2245,2755,3118,2127,1597,1483,894,3917
COPZ2,5,5,0,0,3,3,3,5
NFE2L1,2395,1761,2551,2507,9631,10514,3926,13689
CBX1,687,1150,979,975,2424,1421,1373,3472
SNX11,86,93,116,68,880,386,284,775
SKAP1,0,5,11,5,90,33,28,138
HOXB2,78,131,94,56,46,41,31,179
HOXB3,56,104,108,34,48,38,8,175
HOXB4,18,25,20,2,10,10,3,65
HOXB5,0,0,0,0,0,0,4,0
HOXB6,4,10,7,7,3,0,0,7
HOXB7,13,5,0,9,14,15,46,54
HOXB8,0,0,0,0,2,6,4,9
HOXB9,0,0,2,0,0,0,30,12
TTLL6,0,0,0,0,0,0,0,3
CALCOCO2,4086,5656,4619,3151,2468,1840,1856,7388
UBE2Z,334,365,397,324,374,561,397,1281
SNF8,613,777,570,444,408,425,333,1416
IGF2BP1,6,0,0,0,4,6,0,8
B4GALNT2,0,0,0,0,0,2,0,0
GNGT2,197,329,212,117,93,41,52,401
ABI3,1861,2208,1635,916,612,265,204,2302
PHOSPHO1,211,249,203,98,57,21,31,281
ZNF652,512,770,784,512,227,275,179,971
PHB,559,889,542,528,330,277,275,1029
NGFR,69,44,48,21,314,500,492,3349
NXPH3,17,13,20,27,566,243,258,429
SPOP,593,977,1021,630,890,757,433,1774
SLC35B1,146,166,158,107,106,153,87,338
FAM117A,292,286,367,267,330,399,134,935
KAT7,516,633,635,400,480,511,321,1625
TAC4,37,23,6,5,1,5,14,23
DLX4,0,4,7,0,0,6,0,8
DLX3,0,0,0,0,0,0,0,0
ITGA3,19,13,7,9,32,34,13,120
PDK2,82,117,97,72,94,44,45,217
SAMD14,28,12,25,13,174,179,116,361
PPP1R9B,7141,10584,8672,7683,13107,12958,9825,31870
SGCA,0,1,4,11,11,10,4,3
COL1A1,170,1174,131,65,157,19,290,2020
TMEM92,0,0,0,0,0,0,0,0
XYLT2,72,129,150,98,140,117,60,301
MRPL27,69,102,95,57,101,66,79,360
EME1,22,33,36,30,33,38,18,60
LRRC59,1517,2152,1524,1329,1076,1184,982,3435
ACSF2,505,526,652,405,244,167,129,566
CHAD,83,72,116,59,35,46,30,135
RSAD1,157,145,185,78,115,74,41,305
MYCBPAP,0,11,9,0,4,0,1,11
EPN3,4,4,0,4,4,0,0,16
SPATA20,216,243,280,209,139,126,104,361
CACNA1G,15,0,8,18,17,87,50,57
ABCC3,13,1,33,11,227,279,39,235
ANKRD40,644,769,797,559,643,558,380,1932
LUC7L3,5197,6930,6208,5130,4688,6202,3870,16260
WFIKKN2,0,0,0,0,2,0,0,0
TOB1,1523,2670,2346,817,850,461,463,3395
SPAG9,3759,4001,5107,3164,3815,4384,2416,12355
NME1,225,213,245,210,164,139,98,483
NME1-NME2,1929,2503,1738,1749,1463,1008,1193,3416
NME2,1721,2312,1502,1559,1315,887,1112,2959
MBTD1,289,359,480,262,361,303,132,854
UTP18,1070,1361,1312,944,838,865,567,2642
CA10,0,0,0,0,0,0,0,16
TOM1L1,12,6,5,0,4,7,2,11
COX11,165,139,146,96,104,72,65,301
STXBP4,15,17,18,16,6,11,5,29
HLF,0,0,1,2,6,0,1,5
MMD,79,48,33,86,177,174,192,341
TMEM100,0,0,0,0,2,0,0,0
PCTP,269,225,282,177,103,57,46,243
ANKFN1,0,0,0,0,0,0,0,8
NOG,6,0,0,0,8,0,0,0
C17orf67,189,95,160,119,56,62,37,192
DGKE,263,167,243,157,101,104,61,526
TRIM25,1258,915,1073,713,363,231,214,1486
COIL,136,168,162,119,150,132,73,546
SCPEP1,296,320,411,208,176,81,86,532
AKAP1,543,644,688,433,312,200,128,957
MSI2,232,353,312,239,263,208,160,716
MRPS23,176,240,223,137,142,122,82,414
CUEDC1,112,183,129,197,78,94,64,176
VEZF1,594,653,806,482,629,432,267,1516
SRSF1,1800,2665,2317,1477,1596,1533,1151,4793
DYNLL2,769,898,705,405,611,432,468,2211
OR4D1,0,0,0,0,0,0,0,0
EPX,0,0,0,0,12,2,9,0
MKS1,28,49,51,46,49,23,18,64
LPO,0,19,24,28,36,14,10,25
MPO,0,0,5,0,0,2,0,7
TSPOAP1,723,1174,1221,786,763,622,358,2856
SUPT4H1,485,700,504,408,505,577,536,1605
RNF43,50,23,40,35,49,76,65,119
HSF5,0,0,6,0,0,0,0,16
MTMR4,601,481,555,368,1130,1019,902,3539
TEX14,107,99,164,62,29,116,30,277
RAD51C,122,98,96,65,28,36,22,158
PPM1E,9,0,2,6,0,8,2,1
TRIM37,340,174,310,268,180,186,98,531
SKA2,286,409,415,346,263,220,171,670
PRR11,79,68,144,62,71,46,19,123
SMG8,62,64,67,24,25,64,26,207
GDPD1,8,8,4,2,0,5,0,21
YPEL2,638,494,822,492,760,671,379,1539
DHX40,242,308,376,211,328,235,125,745
CLTC,914,1045,1257,723,789,1067,569,2715
PTRH2,216,253,217,193,149,188,100,508
VMP1,1085,1070,1130,856,650,869,626,1849
TUBD1,28,33,50,22,33,57,23,123
RPS6KB1,667,870,819,486,561,566,449,2131
RNFT1,121,198,175,114,157,79,78,288
HEATR6,381,335,483,266,220,253,137,694
CA4,9,0,2,0,0,0,0,0
USP32,1607,1728,2113,1272,954,753,611,3083
C17orf64,0,6,2,0,0,0,0,2
APPBP2,151,125,197,107,75,148,42,387
PPM1D,306,313,316,141,158,172,113,679
BCAS3,46,93,129,77,106,71,23,150
TBX2,6,4,0,0,0,0,0,0
TBX4,8,0,0,0,3,0,0,16
NACA2,13,6,2,10,2,0,0,4
BRIP1,0,18,20,9,19,13,4,66
INTS2,94,113,147,46,113,93,41,358
MED13,854,960,1271,737,1169,1188,729,3819
EFCAB3,0,0,0,0,0,0,0,0
METTL2A,38,69,50,35,50,33,32,164
TLK2,1225,1707,1830,1209,1287,1199,869,4163
MRC2,122,62,33,142,116,131,82,203
TANC2,86,93,150,84,115,77,83,476
CYB561,100,103,122,87,61,38,34,192
ACE,8,1,4,5,6,3,2,13
DCAF7,387,424,470,273,342,312,213,999
TACO1,145,87,57,49,30,35,38,150
MAP3K3,942,1352,1358,906,577,459,335,1636
LIMD2,433,709,637,358,216,184,109,769
STRADA,273,437,441,261,336,359,164,850
CCDC47,2938,4695,4460,2794,2915,2237,1480,8365
DDX42,2852,5091,4960,2798,4509,3724,2421,11306
FTSJ3,3715,4688,3754,2611,2670,2831,2140,10599
PSMC5,2107,2503,1937,1262,1569,1476,1211,5726
SMARCD2,561,948,817,527,544,400,311,1598
CSHL1,0,0,0,0,0,0,1,0
GH1,2,0,2,0,0,2,2,0
CD79B,20,19,14,27,36,19,19,40
SCN4A,0,0,0,0,0,0,0,4
PRR29,62,65,46,66,61,29,29,64
ICAM2,88,118,54,93,89,38,42,115
ERN1,778,741,701,686,651,1088,784,2749
TEX2,308,310,368,236,456,499,190,1410
PECAM1,2244,1701,3509,2138,1834,2141,408,3349
MILR1,177,205,301,132,48,66,30,245
POLG2,407,432,540,316,301,283,181,833
DDX5,70630,89997,91010,67064,70116,84166,54900,199060
CEP95,858,1097,1194,740,918,944,485,2557
SMURF2,293,491,551,323,415,356,196,1235
LRRC37A3,27,42,41,38,29,37,22,77
GNA13,2301,2650,3921,2487,2208,3009,1671,6035
RGS9,36,17,12,23,30,51,40,158
AXIN2,17,6,5,0,190,233,25,764
CEP112,86,114,75,191,215,96,33,180
PRKCA,210,168,384,295,116,283,90,321
CACNG4,0,0,0,2,6,0,0,0
CACNG1,0,0,0,0,0,0,0,0
HELZ,1101,1089,1438,877,821,982,584,3040
PSMD12,561,713,659,554,415,400,302,1153
PITPNC1,742,675,687,540,1107,768,1021,3190
NOL11,242,366,354,228,214,189,116,766
BPTF,2009,2543,3589,2445,2816,2357,1375,7281
C17orf58,21,14,34,16,67,40,12,50
KPNA2,690,780,906,523,566,713,501,1965
AMZ2,396,895,732,508,447,562,338,1252
ARSG,74,147,183,98,53,61,26,213
SLC16A6,99,64,80,48,15,17,9,88
WIPI1,134,168,177,127,94,132,69,280
PRKAR1A,6015,8086,9059,6894,6750,4596,2889,14053
FAM20A,99,18,136,117,370,456,137,367
ABCA8,9,0,9,0,13,14,3,21
ABCA9,17,0,5,4,0,16,4,28
ABCA6,12,4,11,12,75,144,17,248
ABCA10,0,1,6,5,0,11,0,4
ABCA5,120,157,187,100,168,229,84,603
MAP2K6,38,26,43,10,0,13,4,77
KCNJ16,7,0,2,0,0,7,0,18
KCNJ2,53,23,49,30,7,4,3,11
SOX9,0,0,0,0,6,0,7,14
SLC39A11,111,115,125,85,64,42,28,165
SSTR2,5,0,9,4,6,0,5,16
COG1,358,399,380,252,208,216,137,703
FAM104A,387,430,422,331,270,279,189,758
C17orf80,191,228,229,157,184,170,122,545
CPSF4L,0,0,2,0,0,0,0,4
CDC42EP4,173,116,104,183,312,151,176,519
SDK2,17,22,7,92,79,88,28,50
RPL38,5911,8039,5133,5333,4738,3312,4430,10974
TTYH2,2111,1513,2545,2029,3827,4363,2511,7434
DNAI2,19,28,24,22,48,19,16,142
KIF19,10,6,8,16,64,48,6,79
BTBD17,6,0,3,0,10,0,0,0
GPR142,0,0,2,1,0,0,1,0
GPRC5C,114,51,96,129,122,127,67,178
CD300A,3813,5800,5304,2234,993,523,570,4227
CD300LB,1139,1636,1360,686,291,125,151,1087
CD300C,186,237,246,103,41,17,4,156
CD300LD,22,26,23,0,0,0,0,22
CD300E,9955,12838,5796,5887,2291,571,3635,4479
RAB37,8,21,29,28,116,50,36,107
CD300LF,650,754,846,426,292,119,70,669
SLC9A3R1,327,290,266,219,174,149,93,666
NAT9,722,774,712,533,338,340,224,1036
TMEM104,173,224,181,79,30,32,28,209
GRIN2C,27,16,20,18,8,9,9,19
FDXR,126,59,56,47,21,45,27,148
FADS6,0,0,0,0,0,0,0,0
OTOP2,0,0,2,0,0,0,0,4
HID1,0,0,2,5,46,41,2,42
CDR2L,8,15,10,0,19,17,10,24
MRPL58,63,135,105,90,58,64,41,158
KCTD2,868,1063,802,746,610,435,461,1466
SLC16A5,104,74,72,20,11,5,10,38
ARMC7,61,47,55,10,13,35,7,166
NT5C,344,466,301,385,255,216,184,503
SUMO2,1596,2176,1726,1397,1778,1458,1421,4287
NUP85,174,257,283,168,135,152,76,419
GGA3,954,1503,1463,835,936,988,663,3387
MRPS7,391,536,360,320,305,264,242,867
MIF4GD,263,401,380,145,70,77,37,391
SLC25A19,206,248,226,215,138,130,137,325
GRB2,3093,3998,3961,3067,2553,2039,1680,6501
TMEM94,339,366,361,259,220,125,132,692
CASKIN2,12,9,10,16,82,41,12,85
TSEN54,109,211,150,160,220,213,194,654
LLGL2,57,119,85,98,159,90,76,419
MYO15B,3214,4331,4646,3624,1770,1455,1203,5114
RECQL5,125,208,180,165,141,196,80,413
SMIM5,25,16,14,20,7,27,11,31
SMIM6,0,8,0,10,4,4,2,2
SAP30BP,2036,3007,2247,2095,2418,2860,1934,7319
ITGB4,14,8,22,33,77,65,13,43
GALK1,179,152,120,93,19,19,20,66
UNK,189,360,342,298,256,196,128,524
UNC13D,407,548,596,410,227,167,123,569
WBP2,602,663,580,416,613,466,389,1517
TRIM47,0,3,6,0,17,0,0,22
TRIM65,37,76,81,60,62,29,23,121
MRPL38,174,301,300,244,182,148,116,419
FBF1,174,390,331,243,295,203,143,672
ACOX1,188,145,152,153,108,139,75,357
TEN1,285,333,282,294,255,212,187,587
TEN1-CDK3,421,602,488,438,410,389,312,1007
CDK3,134,258,203,133,140,168,125,446
EVPL,3,0,0,3,8,22,0,19
SRP68,1008,1399,1267,852,783,768,461,2654
ZACN,487,660,697,522,404,393,247,1237
GALR2,22,28,35,42,26,21,14,45
EXOC7,1242,1635,1536,1216,989,1018,698,3071
FOXJ1,0,0,0,0,0,12,8,31
RNF157,0,0,5,0,8,2,0,38
UBALD2,890,1737,1126,838,644,573,615,2256
QRICH2,80,30,78,29,14,38,14,103
PRPSAP1,196,227,282,194,188,150,56,502
SPHK1,228,306,148,209,180,157,135,529
UBE2O,900,994,1082,809,821,839,496,2403
AANAT,17,7,17,0,2,5,0,30
RHBDF2,1326,1963,1598,1396,1233,958,982,3246
CYGB,5,6,0,4,11,14,16,40
PRCD,12,0,0,11,7,27,8,22
ST6GALNAC2,11,0,6,0,7,6,3,52
ST6GALNAC1,4,0,5,7,40,26,3,32
MXRA7,85,96,72,95,291,341,61,1225
JMJD6,1620,2022,1979,1434,1242,1198,882,3643
METTL23,53,71,79,43,38,43,28,130
SRSF2,1059,1319,1342,804,930,1006,749,2787
MFSD11,831,1044,1060,645,736,768,563,2185
MGAT5B,3,0,0,0,0,2,0,0
SEC14L1,3530,5393,4275,3330,3246,1890,2598,7761
TNRC6C,79,60,76,45,60,106,43,466
TMC6,907,1424,1192,792,1027,652,690,3487
TMC8,313,490,448,227,418,291,314,1544
C17orf99,0,0,2,0,208,202,97,985
SYNGR2,1644,2410,1870,1617,3229,2648,2539,7993
TK1,102,71,83,70,155,166,140,440
AFMID,236,277,226,168,120,72,62,367
BIRC5,12,12,4,11,0,19,16,60
SOCS3,5872,4180,4777,5630,4186,5719,4361,8143
PGS1,237,313,350,256,201,139,82,424
DNAH17,37,63,34,32,37,13,14,102
CYTH1,7461,6375,7894,7317,19572,18286,13516,35480
USP36,1455,2235,1945,1675,1027,1314,940,3915
TIMP2,419,377,387,332,219,204,94,442
CEP295NL,217,196,212,211,123,139,51,208
LGALS3BP,172,231,386,170,119,80,50,246
CANT1,284,244,315,336,469,350,270,776
C1QTNF1,17,0,9,9,52,51,6,111
ENGASE,1627,1522,1489,1187,632,424,454,1641
RBFOX3,24,16,38,12,19,23,0,24
ENPP7,0,13,12,4,12,0,0,11
CBX2,18,2,4,4,6,16,17,28
CBX8,42,44,40,23,19,17,7,66
CBX4,2113,2526,2228,1616,1582,1351,1331,5154
TBC1D16,80,76,122,33,39,67,21,201
CCDC40,13,19,26,14,11,8,0,25
GAA,574,607,803,650,711,521,301,1004
EIF4A3,5523,5082,4913,3572,3143,3849,3303,11375
CARD14,88,97,117,51,69,40,40,118
SGSH,393,240,293,159,104,104,87,365
SLC26A11,143,84,136,25,43,89,49,259
RNF213,4997,4522,7537,5572,10223,12841,5258,21429
ENDOV,58,92,45,74,105,49,47,206
NPTX1,8,0,2,0,5,3,4,23
RPTOR,221,382,354,279,239,260,128,808
CHMP6,419,358,302,236,242,227,212,921
BAIAP2,473,832,537,395,375,208,202,1281
AATK,0,8,17,0,0,58,18,178
CEP131,1999,2165,1789,1992,810,1055,730,2764
TEPSIN,142,196,200,199,186,173,86,325
SLC38A10,1532,2341,1853,1735,1450,1249,896,3455
TMEM105,0,0,0,0,1,0,0,0
BAHCC1,182,226,273,302,131,211,108,440
ACTG1,16807,20416,19074,17031,25656,18342,14565,48983
FSCN2,0,7,0,3,5,5,4,10
