,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+_CCR7+_4
DHRS13,27,43,53,6,94,39,42,270
PHF12,938,1344,1529,657,1138,825,490,3436
PIPOX,61,64,93,53,50,20,18,84
SEZ6,0,8,5,2,0,3,0,27
MYO18A,6723,9950,9405,7331,3297,3973,2533,13922
TIAF1,224,289,302,274,101,126,69,363
CRYBA1,1,20,7,12,0,0,3,16
NUFIP2,2083,2275,3218,1748,1526,1841,958,4894
TAOK1,1667,1561,2567,1604,1953,2364,1063,5440
ABHD15,177,441,292,215,149,169,113,509
TP53I13,308,732,554,448,254,276,174,894
GIT1,647,723,708,447,370,391,240,1193
ANKRD13B,4,17,16,12,12,2,8,37
CORO6,23,21,10,11,9,2,8,43
SSH2,1772,2832,3947,2059,1816,1240,801,4493
EFCAB5,12,18,17,6,17,13,12,104
NSRP1,2636,2856,3378,2633,2901,2951,1847,7437
SLC6A4,2,0,0,0,0,0,0,0
BLMH,168,221,173,140,195,119,139,569
TMIGD1,0,0,0,0,0,1,0,0
CPD,319,363,496,226,328,267,190,1218
GOSR1,292,356,377,310,510,520,298,1047
CRLF3,336,435,540,339,397,267,161,592
ATAD5,80,104,185,105,60,120,43,293
TEFM,58,95,98,57,49,58,18,179
ADAP2,468,368,570,427,339,337,246,831
RNF135,152,126,212,137,118,85,61,249
NF1,685,700,893,528,328,329,244,1219
OMG,10,23,23,4,12,4,7,38
EVI2B,2324,2078,3144,1345,668,426,393,2574
EVI2A,932,1008,1230,492,232,130,150,1063
RAB11FIP4,1087,935,1382,1198,1972,2257,852,3588
COPRS,81,65,80,72,80,68,51,162
UTP6,1564,1505,1683,1063,784,1025,591,2928
SUZ12,528,499,705,655,999,727,515,1606
